"Player","Team","Position","DK Projection","FD Projection","Std","Half","Full","Slate","DK Ceiling","FD Ceiling"
"Sam Darnold","SEA","QB","15.5","15.4","14.9","14.9","14.9","Thursday","24.9","24.9"
"Dak Prescott","DAL","QB","15.4","15.1","14.6","14.6","14.6","Sunday","24.6","24.5"
"Javonte Williams","DAL","RB","15.4","13.5","11.5","13.2","14.9","Sunday","26.5","24.1"
"Chris Olave","NO","WR","15.3","12.1","8.4","11.6","14.8","Main","27.0","22.5"
"Tyreek Hill","MIA","WR","15.2","12.6","9.6","12.1","14.6","Monday","28.1","24.2"
"Breece Hall","NYJ","RB","15.1","13.3","11.3","12.9","14.6","Monday","27.0","24.5"
"Spencer Rattler","NO","QB","14.9","14.6","14.3","14.3","14.3","Main","23.8","23.7"
"Bryce Young","CAR","QB","14.8","14.6","14.3","14.3","14.3","Main","23.6","23.5"
"Ladd McConkey","LAC","WR","14.8","12.1","8.8","11.5","14.2","Main","27.7","23.5"
"Alvin Kamara","NO","RB","14.8","12.9","10.8","12.6","14.4","Main","25.5","22.9"
"Brian Thomas","JAX","WR","14.7","12.3","9.3","11.7","14.1","Main","27.2","23.6"
"Michael Penix","ATL","QB","14.5","14.3","13.9","13.9","13.9","Main","23.4","23.4"
"Emeka Egbuka","TB","WR","14.5","12.0","9.0","11.5","14.0","Main","26.8","23.0"
"Drake London","ATL","WR","14.4","11.8","8.7","11.3","13.8","Main","26.3","22.5"
"Cam Skattebo","NYG","RB","14.3","12.5","10.6","12.2","13.9","Main","25.0","22.7"
"JK Dobbins","DEN","RB","14.2","13.0","11.5","12.5","13.6","Monday","25.2","23.6"
"Tony Pollard","TEN","RB","14.2","13.0","11.4","12.4","13.5","Main","24.9","23.3"
"Deebo Samuel","WAS","WR","14.2","11.5","8.5","11.1","13.7","Main","25.9","22.1"
"Joe Flacco","CLE","QB","14.1","13.9","13.3","13.3","13.3","Main","22.7","22.6"
"Keenan Allen","LAC","WR","14.1","11.4","8.4","11.1","13.7","Main","26.4","22.4"
"Aaron Rodgers","PIT","QB","14.1","13.9","13.5","13.5","13.5","Other","22.5","22.5"
"D'Andre Swift","CHI","RB","14.0","12.5","10.8","12.2","13.6","Main","24.8","22.8"
"Kenneth Gainwell","PIT","RB","14.0","12.2","10.2","11.9","13.6","Other","24.8","22.3"
"Travis Etienne","JAX","RB","13.9","12.6","11.0","12.2","13.5","Main","25.2","23.3"
"Xavier Worthy","KC","WR","13.8","11.2","8.3","10.9","13.4","Main","25.7","22.0"
"Brock Bowers","LV","TE","13.7","10.9","7.9","10.6","13.3","Main","25.0","20.9"
"Chuba Hubbard","CAR","RB","13.6","12.1","10.3","11.7","13.2","Main","24.5","22.4"
"Tetairoa McMillan","CAR","WR","13.6","11.2","8.2","10.6","13.0","Main","25.7","22.0"
"Quentin Johnston","LAC","WR","13.6","11.3","8.6","10.9","13.1","Main","26.0","22.6"
"Ricky Pearsall","SF","WR","13.2","11.1","8.5","10.6","12.6","Main","25.7","22.5"
"George Pickens","DAL","WR","13.1","10.8","8.1","10.4","12.6","Sunday","24.6","21.2"
"Quinshon Judkins","CLE","RB","13.0","12.0","10.6","11.5","12.5","Main","23.1","21.7"
"Michael Pittman","IND","WR","13.0","10.4","7.5","10.0","12.6","Main","24.3","20.5"
"DK Metcalf","PIT","WR","12.8","10.6","7.9","10.2","12.4","Other","24.3","20.9"
"Jake Ferguson","DAL","TE","12.7","9.6","6.3","9.4","12.5","Sunday","22.0","17.4"
"DeVonta Smith","PHI","WR","12.7","10.2","7.4","9.9","12.4","Main","24.1","20.4"
"David Montgomery","DET","RB","12.6","11.8","10.7","11.4","12.2","Main","23.9","22.7"
"Cameron Ward","TEN","QB","12.6","12.2","12.0","12.0","12.0","Main","20.6","20.5"
"Tyler Warren","IND","TE","12.5","9.9","7.2","9.7","12.2","Main","22.6","18.7"
"Tucker Kraft","GB","TE","12.4","10.2","7.8","9.9","12.0","Sunday","23.3","20.0"
"Kenneth Walker","SEA","RB","12.2","11.1","9.9","10.8","11.8","Thursday","22.9","21.4"
"Marvin Harrison","ARI","WR","12.0","9.9","7.6","9.6","11.6","Thursday","23.0","19.9"
"Tre Tucker","LV","WR","12.0","10.2","8.0","9.8","11.7","Main","23.6","20.8"
"DJ Moore","CHI","WR","11.9","9.8","7.6","9.6","11.6","Main","23.3","20.2"
"Nick Chubb","HOU","RB","11.9","11.0","9.9","10.7","11.5","Main","22.2","20.9"
"Jauan Jennings","SF","WR","11.5","9.5","7.1","9.1","11.2","Main","22.6","19.5"
"Jameson Williams","DET","WR","11.4","9.8","7.8","9.4","11.0","Main","23.5","20.9"
"Jerry Jeudy","CLE","WR","11.2","9.2","6.9","8.9","10.9","Main","21.4","18.3"
"Wan'Dale Robinson","NYG","WR","11.2","8.9","6.4","8.6","10.9","Main","21.3","17.8"
"TreVeyon Henderson","NE","RB","11.0","9.6","8.2","9.5","10.8","Main","21.0","19.0"
"Matthew Golden","GB","WR","10.9","9.2","7.3","9.0","10.6","Sunday","22.5","19.9"
"Marquise Brown","KC","WR","10.9","8.8","6.4","8.6","10.7","Main","21.0","17.8"
"Travis Kelce","KC","TE","10.9","8.6","6.1","8.4","10.7","Main","20.2","16.7"
"Juwan Johnson","NO","TE","10.9","8.4","5.8","8.3","10.7","Main","19.7","16.0"
"Cooper Kupp","SEA","WR","10.9","8.8","6.5","8.6","10.7","Thursday","21.1","17.8"
"Tee Higgins","CIN","WR","10.8","8.9","6.7","8.6","10.5","Monday","21.3","18.3"
"Troy Franklin","DEN","WR","10.8","8.8","6.7","8.6","10.6","Monday","21.6","18.6"
"Calvin Austin","PIT","WR","10.8","9.0","6.8","8.7","10.5","Other","21.2","18.3"
"Calvin Ridley","TEN","WR","10.8","8.9","6.7","8.6","10.5","Main","21.0","18.0"
"Darnell Mooney","ATL","WR","10.7","8.8","6.7","8.5","10.3","Main","21.4","18.5"
"Romeo Doubs","GB","WR","10.7","9.0","6.9","8.7","10.4","Sunday","21.9","19.1"
"Christian Kirk","HOU","WR","10.6","8.7","6.5","8.4","10.3","Main","21.0","18.0"
"Jaylen Waddle","MIA","WR","10.6","8.6","6.4","8.4","10.3","Monday","20.7","17.6"
"Rhamondre Stevenson","NE","RB","10.6","9.3","7.9","9.2","10.4","Main","20.5","18.5"
"Zach Charbonnet","SEA","RB","10.4","9.5","8.5","9.3","10.1","Thursday","20.2","19.0"
"Zach Ertz","WAS","TE","10.4","8.3","6.1","8.2","10.2","Main","19.3","16.1"
"Khalil Shakir","BUF","WR","10.3","8.3","6.2","8.1","10.1","Main","20.8","17.7"
"Keon Coleman","BUF","WR","10.3","8.7","6.8","8.4","10.0","Main","21.5","18.9"
"David Njoku","CLE","TE","10.3","8.0","5.6","7.9","10.1","Main","18.6","15.1"
"Sam LaPorta","DET","TE","10.0","8.1","6.1","8.0","9.8","Main","19.7","16.7"
"Rashid Shaheed","NO","WR","9.9","8.0","5.9","7.8","9.7","Main","19.3","16.4"
"Hunter Henry","NE","TE","9.8","8.0","6.0","7.9","9.7","Main","19.0","16.0"
"HOU DST","HOU","DST","9.8","9.8","9.8","9.8","9.8","Main","17.5","17.5"
"Cedric Tillman","CLE","WR","9.6","7.8","5.7","7.6","9.4","Main","18.6","15.7"
"Josh Downs","IND","WR","9.6","7.6","5.5","7.5","9.4","Main","18.8","15.7"
"Rashod Bateman","BAL","WR","9.5","8.0","6.3","7.8","9.3","Main","19.9","17.4"
"Jordan Addison","MIN","WR","9.5","7.8","6.0","7.7","9.3","Other","19.3","16.6"
"Dalton Kincaid","BUF","TE","9.3","7.5","5.6","7.4","9.2","Main","18.5","15.7"
"Hunter Renfrow","CAR","WR","9.3","7.3","5.2","7.2","9.1","Main","17.9","14.9"
"Dontayvion Wicks","GB","WR","9.3","7.7","5.9","7.5","9.0","Sunday","19.4","16.8"
"Chris Godwin","TB","WR","9.3","7.4","5.5","7.3","9.1","Main","18.5","15.6"
"Mark Andrews","BAL","TE","9.2","7.6","6.0","7.5","9.1","Main","18.4","15.8"
"Jake Bates","DET","K","9.2","9.2","9.2","9.2","9.2","Main","15.4","15.4"
"Dallas Goedert","PHI","TE","9.1","7.1","5.1","7.0","9.0","Main","17.6","14.5"
"Brandon McManus","GB","K","9.0","9.0","9.0","9.0","9.0","Sunday","15.3","15.3"
"Kyle Pitts","ATL","TE","8.9","7.1","5.2","7.0","8.7","Main","17.3","14.4"
"Harold Fannin","CLE","TE","8.9","6.9","4.8","6.8","8.8","Main","16.5","13.3"
"TJ Hockenson","MIN","TE","8.9","7.0","5.1","6.9","8.8","Other","17.4","14.3"
"Stefon Diggs","NE","WR","8.9","7.1","5.3","7.0","8.7","Main","18.1","15.3"
"Matt Prater","BUF","K","8.9","8.9","8.9","8.9","8.9","Main","14.8","14.8"
"DET DST","DET","DST","8.9","8.9","8.9","8.9","8.9","Main","16.8","16.8"
"Travis Hunter","JAX","WR","8.8","7.1","5.2","6.9","8.7","Main","17.7","14.9"
"Brenton Strange","JAX","TE","8.8","6.9","4.9","6.8","8.7","Main","16.7","13.7"
"Cameron Dicker","LAC","K","8.8","8.8","8.8","8.8","8.8","Main","15.0","15.0"
"DEN DST","DEN","DST","8.8","8.8","8.8","8.8","8.8","Monday","16.7","16.7"
"BUF DST","BUF","DST","8.7","8.7","8.7","8.7","8.7","Main","16.5","16.5"
"Isiah Pacheco","KC","RB","8.6","7.6","6.6","7.5","8.5","Main","17.4","15.9"
"Wil Lutz","DEN","K","8.6","8.6","8.6","8.6","8.6","Monday","14.6","14.6"
"Ka'imi Fairbairn","HOU","K","8.6","8.6","8.6","8.6","8.6","Main","15.0","15.0"
"LAC DST","LAC","DST","8.6","8.6","8.6","8.6","8.6","Main","16.3","16.3"
"Jake Elliott","PHI","K","8.5","8.5","8.5","8.5","8.5","Main","14.7","14.7"
"Parker Washington","JAX","WR","8.4","6.8","5.1","6.7","8.3","Main","17.2","14.6"
"Will Reichard","MIN","K","8.4","8.4","8.4","8.4","8.4","Other","14.8","14.8"
"Kavontae Turpin","DAL","WR","8.3","6.8","5.3","6.8","8.2","Sunday","16.9","14.6"
"Adonai Mitchell","IND","WR","8.3","6.8","5.2","6.7","8.2","Main","17.3","14.9"
"Joshua Karty","LA","K","8.3","8.3","8.3","8.3","8.3","Main","14.3","14.3"
"Parker Romo","ATL","K","8.2","8.2","8.2","8.2","8.2","Main","14.3","14.3"
"Tyler Loop","BAL","K","8.2","8.2","8.2","8.2","8.2","Main","14.1","14.1"
"Andy Borregales","NE","K","8.2","8.2","8.2","8.2","8.2","Main","14.3","14.3"
"Eddy Piñeiro","SF","K","8.2","8.2","8.2","8.2","8.2","Main","14.3","14.3"
"Cairo Santos","CHI","K","8.1","8.1","8.1","8.1","8.1","Main","14.5","14.5"
"Spencer Shrader","IND","K","8.1","8.1","8.1","8.1","8.1","Main","14.1","14.1"
"Daniel Carlson","LV","K","8.1","8.1","8.1","8.1","8.1","Main","14.1","14.1"
"Jalen Tolbert","DAL","WR","8.0","6.4","4.8","6.3","7.9","Sunday","16.2","13.8"
"Kareem Hunt","KC","RB","8.0","7.2","6.3","7.1","7.9","Main","16.3","15.0"
"Sterling Shepard","TB","WR","8.0","6.4","4.8","6.3","7.8","Main","16.5","14.1"
"Brandon Aubrey","DAL","K","8.0","8.0","8.0","8.0","8.0","Sunday","14.3","14.3"
"Dalton Schultz","HOU","TE","7.9","6.2","4.6","6.2","7.8","Main","15.8","13.2"
"Elic Ayomanor","TEN","WR","7.9","6.4","4.8","6.3","7.8","Main","16.1","13.7"
"Harrison Butker","KC","K","7.9","7.9","7.9","7.9","7.9","Main","13.9","13.9"
"Riley Patterson","MIA","K","7.9","7.9","7.9","7.9","7.9","Monday","14.0","14.0"
"Chris Boswell","PIT","K","7.9","7.9","7.9","7.9","7.9","Other","14.2","14.2"
"Jason Myers","SEA","K","7.9","7.9","7.9","7.9","7.9","Thursday","13.9","13.9"
"Malik Washington","MIA","WR","7.8","6.4","5.0","6.3","7.7","Monday","16.7","14.5"
"Chig Okonkwo","TEN","TE","7.8","6.0","4.1","5.9","7.7","Main","15.0","12.0"
"Chase McLaughlin","TB","K","7.8","7.8","7.8","7.8","7.8","Main","13.9","13.9"
"Joey Slye","TEN","K","7.8","7.8","7.8","7.8","7.8","Main","14.2","14.2"
"Jonnu Smith","PIT","TE","7.7","6.0","4.2","5.9","7.7","Other","15.0","12.2"
"Chad Ryland","ARI","K","7.7","7.7","7.7","7.7","7.7","Thursday","13.7","13.7"
"Cam Little","JAX","K","7.7","7.7","7.7","7.7","7.7","Main","13.8","13.8"
"Matt Gay","WAS","K","7.7","7.7","7.7","7.7","7.7","Main","13.9","13.9"
"Olamide Zaccheaus","CHI","WR","7.6","6.2","4.7","6.1","7.5","Main","16.1","13.8"
"Dont'e Thornton","LV","WR","7.6","6.4","5.1","6.3","7.5","Main","16.9","14.9"
"Kayshon Boutte","NE","WR","7.6","6.4","5.0","6.3","7.5","Main","16.5","14.4"
"Nick Folk","NYJ","K","7.6","7.6","7.6","7.6","7.6","Monday","13.7","13.7"
"NE DST","NE","DST","7.6","7.6","7.6","7.6","7.6","Main","14.9","14.9"
"Tyler Allgeier","ATL","RB","7.5","7.1","6.7","7.0","7.3","Main","16.6","16.1"
"Woody Marks","HOU","RB","7.5","6.8","6.0","6.7","7.4","Main","16.2","15.1"
"Jacory Croskey-Merritt","WAS","RB","7.5","6.8","6.1","6.7","7.4","Main","15.6","14.5"
"Evan McPherson","CIN","K","7.5","7.5","7.5","7.5","7.5","Monday","13.6","13.6"
"Justice Hill","BAL","RB","7.4","6.0","4.6","6.0","7.3","Main","15.6","13.5"
"Ryan Fitzgerald","CAR","K","7.4","7.4","7.4","7.4","7.4","Main","13.5","13.5"
"MIA DST","MIA","DST","7.4","7.4","7.4","7.4","7.4","Monday","14.6","14.6"
"Jude McAtamney","NYG","K","7.3","7.3","7.3","7.3","7.3","Main","13.3","13.3"
"GB DST","GB","DST","7.3","7.3","7.3","7.3","7.3","Sunday","14.8","14.8"
"Andre Szmyt","CLE","K","7.2","7.2","7.2","7.2","7.2","Main","13.4","13.4"
"MIN DST","MIN","DST","7.2","7.2","7.2","7.2","7.2","Other","14.3","14.3"
"PHI DST","PHI","DST","7.1","7.1","7.1","7.1","7.1","Main","14.4","14.4"
"RJ Harvey","DEN","RB","7.0","6.0","5.0","6.0","7.0","Monday","15.5","13.9"
"SEA DST","SEA","DST","7.0","7.0","7.0","7.0","7.0","Thursday","14.2","14.2"
"Cade Otton","TB","TE","6.9","5.4","3.9","5.4","6.9","Main","14.0","11.5"
"Blake Grupe","NO","K","6.9","6.9","6.9","6.9","6.9","Main","12.8","12.8"
"Rico Dowdle","CAR","RB","6.8","6.1","5.4","6.0","6.6","Main","14.6","13.6"
"Mike Gesicki","CIN","TE","6.8","5.3","3.7","5.2","6.7","Monday","13.8","11.3"
"Tyquan Thornton","KC","WR","6.8","5.8","4.7","5.7","6.6","Main","15.2","13.5"
"ATL DST","ATL","DST","6.8","6.8","6.8","6.8","6.8","Main","14.0","14.0"
"Michael Wilson","ARI","WR","6.7","5.5","4.2","5.4","6.6","Thursday","14.6","12.5"
"Joshua Palmer","BUF","WR","6.7","5.6","4.5","5.5","6.6","Main","15.4","13.5"
"Marvin Mims","DEN","WR","6.6","5.4","4.1","5.3","6.5","Monday","14.6","12.5"
"Jake Tonges","SF","TE","6.6","5.2","3.8","5.2","6.5","Main","13.8","11.5"
"CAR DST","CAR","DST","6.6","6.6","6.6","6.6","6.6","Main","13.9","13.9"
"CHI DST","CHI","DST","6.6","6.6","6.6","6.6","6.6","Main","13.9","13.9"
"PIT DST","PIT","DST","6.6","6.6","6.6","6.6","6.6","Other","13.8","13.8"
"TEN DST","TEN","DST","6.6","6.6","6.6","6.6","6.6","Main","13.7","13.7"
"BAL DST","BAL","DST","6.5","6.5","6.5","6.5","6.5","Main","13.8","13.8"
"SF DST","SF","DST","6.5","6.5","6.5","6.5","6.5","Main","13.8","13.8"
"Pat Freiermuth","PIT","TE","6.4","5.1","3.7","5.1","6.4","Other","13.3","11.1"
"Tommy Tremble","CAR","TE","6.3","5.0","3.6","4.9","6.3","Main","13.0","10.8"
"Evan Engram","DEN","TE","6.3","4.9","3.5","4.9","6.3","Monday","13.3","11.0"
"Jerome Ford","CLE","RB","6.2","4.7","3.3","4.7","6.2","Main","12.9","10.6"
"Demario Douglas","NE","WR","6.2","4.9","3.7","4.9","6.1","Main","13.4","11.4"
"Chris Rodriguez","WAS","RB","6.2","5.9","5.6","5.8","6.1","Main","13.6","13.1"
"LA DST","LA","DST","6.2","6.2","6.2","6.2","6.2","Main","13.3","13.3"
"LV DST","LV","DST","6.2","6.2","6.2","6.2","6.2","Main","13.2","13.2"
"Isaiah Likely","BAL","TE","6.1","4.9","3.7","4.9","6.1","Main","13.5","11.4"
"NYJ DST","NYJ","DST","6.1","6.1","6.1","6.1","6.1","Monday","13.1","13.1"
"WAS DST","WAS","DST","6.1","6.1","6.1","6.1","6.1","Main","13.2","13.2"
"Oronde Gadsden","LAC","TE","6.0","4.8","3.5","4.7","5.9","Main","12.9","10.9"
"TB DST","TB","DST","6.0","6.0","6.0","6.0","6.0","Main","12.8","12.8"
"Bhayshul Tuten","JAX","RB","5.9","5.4","4.9","5.4","5.9","Main","13.6","12.8"
"Rachaad White","TB","RB","5.9","5.2","4.5","5.2","5.9","Main","13.3","12.1"
"Josh Reynolds","NYJ","WR","5.8","4.8","3.7","4.7","5.7","Monday","13.1","11.3"
"Jaylin Lane","WAS","WR","5.8","4.7","3.6","4.7","5.7","Main","13.1","11.3"
"Cole Kmet","CHI","TE","5.7","4.5","3.4","4.5","5.6","Main","12.5","10.6"
"Mason Taylor","NYJ","TE","5.7","4.4","3.2","4.4","5.7","Monday","12.1","10.0"
"Tory Horton","SEA","WR","5.7","4.7","3.6","4.6","5.6","Thursday","13.0","11.3"
"ARI DST","ARI","DST","5.7","5.7","5.7","5.7","5.7","Thursday","12.6","12.6"
"Emari Demercado","ARI","RB","5.6","4.7","3.9","4.7","5.5","Thursday","12.7","11.3"
"Theo Johnson","NYG","TE","5.6","4.3","3.1","4.3","5.5","Main","11.8","9.6"
"Chris Moore","WAS","WR","5.6","4.6","3.6","4.6","5.6","Main","12.9","11.1"
"NYG DST","NYG","DST","5.6","5.6","5.6","5.6","5.6","Main","12.4","12.4"
"Kyle Monangai","CHI","RB","5.5","4.9","4.4","4.9","5.4","Main","12.6","11.7"
"Darius Slayton","NYG","WR","5.5","4.5","3.5","4.5","5.5","Main","12.5","10.8"
"JAX DST","JAX","DST","5.5","5.5","5.5","5.5","5.5","Main","12.4","12.4"
"Noah Gray","KC","TE","5.4","4.2","3.0","4.2","5.3","Main","11.6","9.6"
"JuJu Smith-Schuster","KC","WR","5.3","4.2","3.1","4.2","5.3","Main","11.8","9.9"
"Ollie Gordon","MIA","RB","5.3","5.1","4.9","5.1","5.2","Monday","12.3","12.0"
"David Moore","CAR","WR","5.2","4.2","3.1","4.1","5.1","Main","11.9","10.1"
"Jalen Nailor","MIN","WR","5.2","4.2","3.3","4.2","5.1","Other","12.1","10.4"
"Brian Robinson","SF","RB","5.2","4.9","4.5","4.8","5.1","Main","12.7","12.2"
"Luke McCaffrey","WAS","WR","5.2","4.2","3.1","4.2","5.2","Main","11.9","10.1"
"Greg Dortch","ARI","WR","5.1","4.0","2.9","4.0","5.1","Thursday","11.4","9.6"
"Miles Sanders","DAL","RB","5.1","4.4","3.8","4.4","5.0","Sunday","11.7","10.8"
"Tyler Higbee","LA","TE","5.1","4.1","3.0","4.1","5.1","Main","11.4","9.6"
"Mack Hollins","NE","WR","5.1","4.2","3.2","4.1","5.0","Main","12.0","10.3"
"Devin Singletary","NYG","RB","5.1","4.4","3.7","4.4","5.0","Main","11.6","10.6"
"Ray-Ray McCloud","ATL","WR","5.0","4.0","3.0","4.0","4.9","Main","11.5","9.9"
"Jordan Whittington","LA","WR","5.0","4.2","3.3","4.2","5.0","Main","12.3","10.9"
"Jeremy McNichols","WAS","RB","5.0","4.2","3.5","4.2","4.9","Main","11.2","10.0"
"Blake Corum","LA","RB","4.9","4.5","4.1","4.5","4.9","Main","11.9","11.4"
"AJ Barner","SEA","TE","4.9","3.9","2.9","3.9","4.8","Thursday","10.5","8.8"
"Chimere Dike","TEN","WR","4.9","4.0","3.1","4.0","4.8","Main","11.4","9.9"
"Ty Johnson","BUF","RB","4.8","4.2","3.6","4.2","4.8","Main","12.2","11.2"
"Brandin Cooks","NO","WR","4.8","3.8","2.8","3.8","4.8","Main","11.0","9.3"
"Braelon Allen","NYJ","RB","4.8","4.4","4.0","4.4","4.7","Monday","11.6","10.9"
"IND DST","IND","DST","4.8","4.8","4.8","4.8","4.8","Main","11.5","11.5"
"Luther Burden","CHI","WR","4.7","3.9","3.1","3.9","4.6","Main","11.6","10.2"
"CIN DST","CIN","DST","4.7","4.7","4.7","4.7","4.7","Monday","11.5","11.5"
"KC DST","KC","DST","4.7","4.7","4.7","4.7","4.7","Main","11.0","11.0"
"Ray Davis","BUF","RB","4.6","4.3","4.0","4.3","4.6","Main","11.8","11.4"
"Austin Hooper","NE","TE","4.5","3.6","2.7","3.5","4.4","Main","10.4","8.8"
"Isaiah Bond","CLE","WR","4.4","3.6","2.7","3.6","4.4","Main","10.3","8.9"
"Zavier Scott","MIN","RB","4.4","4.0","3.6","4.0","4.3","Other","10.7","10.2"
"Kaleb Johnson","PIT","RB","4.4","4.1","3.8","4.0","4.3","Other","10.5","10.0"
"Andrei Iosivas","CIN","WR","4.3","3.5","2.6","3.4","4.2","Monday","10.3","8.8"
"Xavier Hutchinson","HOU","WR","4.3","3.5","2.7","3.5","4.2","Main","11.0","9.6"
"Trey Sermon","PIT","RB","4.2","3.7","3.2","3.7","4.2","Other","10.2","9.4"
"Demarcus Robinson","SF","WR","4.2","3.6","2.9","3.5","4.2","Main","10.8","9.5"
"Kendrick Bourne","SF","WR","4.2","3.4","2.6","3.4","4.2","Main","10.3","8.8"
"DAL DST","DAL","DST","4.2","4.2","4.2","4.2","4.2","Sunday","10.5","10.5"
"DeAndre Hopkins","BAL","WR","4.1","3.4","2.7","3.4","4.0","Main","10.6","9.3"
"Dawson Knox","BUF","TE","4.1","3.3","2.6","3.3","4.1","Main","10.1","8.7"
