"player","shirtnumber","nationality","position","age","minutes","goals","assists","pens_made","pens_att","shots","shots_on_target","cards_yellow","cards_red","touches","tackles","interceptions","blocks","xg","npxg","xg_assist","sca","gca","passes_completed","passes","passes_pct","progressive_passes","carries","progressive_carries","take_ons","take_ons_won","player_href","team","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","take_ons_won_pct","take_ons_tackled","take_ons_tackled_pct","carries_distance","carries_progressive_distance","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","passes_received","progressive_passes_received","league","season","match_date","home_team","away_team","match_url","gameweek","venue","fouls","fouled","offsides","crosses","tackles_won","own_goals","pens_won","pens_conceded"
"Alfie Doughty","14","eng ENG","LB","25-340","71","0","1","0","0","0","0","0","0","75","1","0","0","0.0","0.0","0.4","9","1","53","73","72.6","11","46","5","0","0","/en/players/bf33b257/Alfie-Doughty","Millwall","0","3","40","32","1","75","","0","","269","187","3","0","1","0","46","2","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Millwall","Sheffield Wednesday","https://fbref.com/en/matches/cacd819f/Millwall-Sheffield-Wednesday-November-26-2025-Championship","17","The Den",NA,NA,NA,NA,NA,NA,NA,NA
"Dan McNamara","2","ie IRL","LB","26-334","19","0","0","0","0","0","0","0","0","12","1","0","1","0.0","0.0","0.0","0","0","9","10","90.0","2","7","1","1","0","/en/players/390a580b/Dan-McNamara","Millwall","1","4","8","0","0","12","0.0","0","0.0","60","47","0","0","0","0","8","0","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Millwall","Sheffield Wednesday","https://fbref.com/en/matches/cacd819f/Millwall-Sheffield-Wednesday-November-26-2025-Championship","17","The Den",NA,NA,NA,NA,NA,NA,NA,NA
"Jake Cooper","5","eng ENG","CB","30-296","90","0","0","0","0","2","0","0","0","68","0","0","4","0.1","0.1","0.2","2","0","48","57","84.2","2","33","0","0","0","/en/players/aa7dfc40/Jake-Cooper","Millwall","8","30","31","7","6","68","","0","","129","55","0","0","0","0","37","1","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Millwall","Sheffield Wednesday","https://fbref.com/en/matches/cacd819f/Millwall-Sheffield-Wednesday-November-26-2025-Championship","17","The Den",NA,NA,NA,NA,NA,NA,NA,NA
"Caleb Taylor","6","eng ENG","CB","22-316","90","0","0","0","0","3","0","0","0","73","1","3","3","0.5","0.5","0.1","3","1","44","58","75.9","4","36","3","2","2","/en/players/4ed3f5c4/Caleb-Taylor","Millwall","6","25","38","10","5","73","100.0","0","0.0","174","116","1","0","0","0","39","0","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Millwall","Sheffield Wednesday","https://fbref.com/en/matches/cacd819f/Millwall-Sheffield-Wednesday-November-26-2025-Championship","17","The Den",NA,NA,NA,NA,NA,NA,NA,NA
"Tristan Crama","4","fr FRA","RB","24-018","90","0","0","0","0","2","1","0","0","76","3","1","2","0.1","0.1","0.8","7","0","33","59","55.9","3","24","6","2","1","/en/players/130e085a/Tristan-Crama","Millwall","2","13","37","26","6","76","50.0","1","50.0","276","209","2","1","5","0","29","9","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Millwall","Sheffield Wednesday","https://fbref.com/en/matches/cacd819f/Millwall-Sheffield-Wednesday-November-26-2025-Championship","17","The Den",NA,NA,NA,NA,NA,NA,NA,NA
"Max Crocombe","15","nz NZL","GK","32-106","90","0","0","0","0","0","0","0","0","33","0","0","0","0.0","0.0","0.0","0","0","16","31","51.6","0","21","0","0","0","/en/players/fdf47077/Max-Crocombe","Millwall","22","33","0","0","0","33","","0","","82","45","0","0","0","0","16","0","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Millwall","Sheffield Wednesday","https://fbref.com/en/matches/cacd819f/Millwall-Sheffield-Wednesday-November-26-2025-Championship","17","The Den",NA,NA,NA,NA,NA,NA,NA,NA
"Bailey-Tye Cadamarteri","18","jm JAM","FW","20-201","90","0","0","0","0","2","1","0","0","27","0","2","1","0.2","0.2","0.0","2","0","9","14","64.3","0","12","2","0","0","/en/players/a624d600/Bailey-Tye-Cadamarteri","Sheffield Wednesday","3","5","16","7","3","27","","0","","49","23","0","1","5","2","16","6","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Millwall","Sheffield Wednesday","https://fbref.com/en/matches/cacd819f/Millwall-Sheffield-Wednesday-November-26-2025-Championship","17","The Den",NA,NA,NA,NA,NA,NA,NA,NA
"Barry Bannan","10","sct SCO","AM,CM","35-360","90","0","0","0","0","4","2","1","0","61","1","0","1","0.3","0.3","0.3","6","0","37","53","69.8","6","22","1","2","1","/en/players/9469fb13/Barry-Bannan","Sheffield Wednesday","1","8","36","18","3","61","50.0","1","50.0","111","45","1","0","0","0","38","5","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Millwall","Sheffield Wednesday","https://fbref.com/en/matches/cacd819f/Millwall-Sheffield-Wednesday-November-26-2025-Championship","17","The Den",NA,NA,NA,NA,NA,NA,NA,NA
"Charlie McNeill","17","eng ENG","AM","22-078","90","0","0","0","0","2","0","0","0","38","2","1","1","0.3","0.3","0.1","4","0","18","22","81.8","3","21","1","2","1","/en/players/f9de9c23/Charlie-McNeill","Sheffield Wednesday","2","10","23","6","3","38","50.0","1","50.0","123","41","1","0","5","1","23","4","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Millwall","Sheffield Wednesday","https://fbref.com/en/matches/cacd819f/Millwall-Sheffield-Wednesday-November-26-2025-Championship","17","The Den",NA,NA,NA,NA,NA,NA,NA,NA
"Svante Ingelsson","8","se SWE","CM","27-165","72","0","0","0","0","0","0","0","0","31","2","1","1","0.0","0.0","0.1","1","0","12","20","60.0","3","14","2","0","0","/en/players/4133cfcf/Svante-Ingelsson","Sheffield Wednesday","4","8","14","9","2","31","","0","","104","68","2","0","4","0","16","1","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Millwall","Sheffield Wednesday","https://fbref.com/en/matches/cacd819f/Millwall-Sheffield-Wednesday-November-26-2025-Championship","17","The Den",NA,NA,NA,NA,NA,NA,NA,NA
"Jamal Lowe","9","jm JAM","AM,CM","31-128","18","0","0","0","0","1","0","0","0","10","0","0","0","0.0","0.0","0.0","0","0","4","6","66.7","2","4","1","1","0","/en/players/b2856bc0/Jamal-Lowe","Sheffield Wednesday","1","2","7","1","0","10","0.0","1","100.0","29","20","0","0","1","0","7","1","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Millwall","Sheffield Wednesday","https://fbref.com/en/matches/cacd819f/Millwall-Sheffield-Wednesday-November-26-2025-Championship","17","The Den",NA,NA,NA,NA,NA,NA,NA,NA
"Yan Valery","7","tn TUN","CM,WB","26-277","90","0","0","0","0","2","0","0","0","56","1","0","1","0.0","0.0","0.0","0","0","30","42","71.4","0","27","2","2","1","/en/players/531a4aa8/Yan-Valery","Sheffield Wednesday","3","13","35","8","1","56","50.0","1","50.0","138","66","0","0","3","0","32","2","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Millwall","Sheffield Wednesday","https://fbref.com/en/matches/cacd819f/Millwall-Sheffield-Wednesday-November-26-2025-Championship","17","The Den",NA,NA,NA,NA,NA,NA,NA,NA
"Harry Amass","12","eng ENG","WB","18-255","89","0","0","0","0","0","0","0","0","47","1","1","1","0.0","0.0","0.0","3","0","26","31","83.9","3","22","1","1","0","/en/players/7b47100c/Harry-Amass","Sheffield Wednesday","2","13","21","13","1","47","0.0","1","100.0","96","23","1","0","6","2","28","4","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Millwall","Sheffield Wednesday","https://fbref.com/en/matches/cacd819f/Millwall-Sheffield-Wednesday-November-26-2025-Championship","17","The Den",NA,NA,NA,NA,NA,NA,NA,NA
"Reece Johnson","27","eng ENG","WB","19-299","1","0","0","0","0","0","0","0","0","3","0","0","1","0.0","0.0","0.0","0","0","0","1","0.0","0","0","0","0","0","/en/players/97343a90/Reece-Johnson","Sheffield Wednesday","1","1","2","0","0","3","","0","","0","0","0","0","0","0","1","0","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Millwall","Sheffield Wednesday","https://fbref.com/en/matches/cacd819f/Millwall-Sheffield-Wednesday-November-26-2025-Championship","17","The Den",NA,NA,NA,NA,NA,NA,NA,NA
"Sean Fusire","4","zw ZIM","WB","20-179","89","0","0","0","0","0","0","0","0","47","1","1","1","0.0","0.0","0.0","2","0","29","35","82.9","2","16","0","1","0","/en/players/acc25f5a/Sean-Fusire","Sheffield Wednesday","4","11","31","5","0","47","0.0","1","100.0","69","23","0","0","2","1","25","2","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Millwall","Sheffield Wednesday","https://fbref.com/en/matches/cacd819f/Millwall-Sheffield-Wednesday-November-26-2025-Championship","17","The Den",NA,NA,NA,NA,NA,NA,NA,NA
"Jarvis Thornton","37","eng ENG","CM","19-320","1","0","0","0","0","0","0","0","0","5","0","0","0","0.0","0.0","0.0","0","0","5","5","100.0","0","3","0","0","0","/en/players/bc50166f/Jarvis-Thornton","Sheffield Wednesday","0","1","5","0","0","5","","0","","19","11","0","0","0","0","5","1","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Millwall","Sheffield Wednesday","https://fbref.com/en/matches/cacd819f/Millwall-Sheffield-Wednesday-November-26-2025-Championship","17","The Den",NA,NA,NA,NA,NA,NA,NA,NA
"Max Lowe","3","eng ENG","CB","28-199","90","0","0","0","0","0","0","0","0","68","0","0","3","0.0","0.0","0.0","1","0","27","53","50.9","3","19","0","0","0","/en/players/7af88b33/Max-Lowe","Sheffield Wednesday","4","30","37","1","1","68","","0","","52","23","0","0","1","0","25","1","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Millwall","Sheffield Wednesday","https://fbref.com/en/matches/cacd819f/Millwall-Sheffield-Wednesday-November-26-2025-Championship","17","The Den",NA,NA,NA,NA,NA,NA,NA,NA
"Liam Cooper","16","sct SCO","CB","34-088","78","0","0","0","0","0","0","1","0","29","1","1","1","0.0","0.0","0.0","0","0","15","20","75.0","2","9","0","0","0","/en/players/dc64b8b3/Liam-Cooper","Sheffield Wednesday","7","18","11","0","0","29","","0","","66","15","0","0","0","0","12","0","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Millwall","Sheffield Wednesday","https://fbref.com/en/matches/cacd819f/Millwall-Sheffield-Wednesday-November-26-2025-Championship","17","The Den",NA,NA,NA,NA,NA,NA,NA,NA
"Liam Palmer","2","sct SCO","CB","34-068","12","0","0","0","0","0","0","0","0","16","1","1","0","0.0","0.0","0.0","0","0","12","14","85.7","1","6","0","0","0","/en/players/93affd76/Liam-Palmer","Sheffield Wednesday","0","2","10","4","0","16","","0","","25","10","1","0","0","0","11","0","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Millwall","Sheffield Wednesday","https://fbref.com/en/matches/cacd819f/Millwall-Sheffield-Wednesday-November-26-2025-Championship","17","The Den",NA,NA,NA,NA,NA,NA,NA,NA
"Dominic Iorfa","6","eng ENG","CB","30-155","90","0","0","0","0","0","0","1","0","63","0","1","2","0.0","0.0","0.0","0","0","42","49","85.7","2","24","1","0","0","/en/players/65b091e9/Dominic-Iorfa","Sheffield Wednesday","13","35","28","0","0","63","","0","","112","73","0","0","1","0","33","0","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Millwall","Sheffield Wednesday","https://fbref.com/en/matches/cacd819f/Millwall-Sheffield-Wednesday-November-26-2025-Championship","17","The Den",NA,NA,NA,NA,NA,NA,NA,NA
"Ethan Horvath","24","us USA","GK","30-170","90","0","0","0","0","0","0","0","0","48","0","0","0","0.0","0.0","0.0","0","0","22","45","48.9","0","22","0","0","0","/en/players/3f65d5ce/Ethan-Horvath","Sheffield Wednesday","37","48","0","0","0","48","","0","","113","93","0","0","0","0","16","0","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Millwall","Sheffield Wednesday","https://fbref.com/en/matches/cacd819f/Millwall-Sheffield-Wednesday-November-26-2025-Championship","17","The Den",NA,NA,NA,NA,NA,NA,NA,NA
"Andri Guðjohnsen","11","is ISL","FW","23-301","72","0","0","0","0","3","1","0","0","18","1","0","0","0.6","0.6","0.0","0","0","2","10","20.0","0","9","0","1","0","/en/players/25e60861/Andri-Gudjohnsen","Blackburn Rovers","0","2","7","9","4","18","0.0","1","100.0","20","3","0","0","2","0","15","2","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Blackburn Rovers","Queens Park Rangers","https://fbref.com/en/matches/4a0ac4c7/Blackburn-Rovers-Queens-Park-Rangers-November-26-2025-Championship","17","Ewood Park",NA,NA,NA,NA,NA,NA,NA,NA
"Makhtar Gueye","9","sn SEN","FW","27-357","18","0","0","0","0","0","0","0","0","3","0","0","0","0.0","0.0","0.0","0","0","1","2","50.0","0","1","0","0","0","/en/players/92b1763b/Makhtar-Gueye","Blackburn Rovers","0","0","1","2","1","3","","0","","3","0","0","0","0","0","1","0","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Blackburn Rovers","Queens Park Rangers","https://fbref.com/en/matches/4a0ac4c7/Blackburn-Rovers-Queens-Park-Rangers-November-26-2025-Championship","17","Ewood Park",NA,NA,NA,NA,NA,NA,NA,NA
"Yuki Ohashi","23","jp JPN","FW","29-122","90","0","0","0","0","1","0","1","0","29","0","1","1","0.0","0.0","0.0","2","0","8","19","42.1","3","13","0","0","0","/en/players/5fa86767/Yuki-Ohashi","Blackburn Rovers","1","3","7","19","2","29","","0","","43","4","1","0","4","1","20","9","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Blackburn Rovers","Queens Park Rangers","https://fbref.com/en/matches/4a0ac4c7/Blackburn-Rovers-Queens-Park-Rangers-November-26-2025-Championship","17","Ewood Park",NA,NA,NA,NA,NA,NA,NA,NA
"Ryoya Morishita","25","jp JPN","AM","28-229","81","0","0","0","0","0","0","0","0","43","0","0","0","0.0","0.0","0.3","4","0","21","33","63.6","2","22","1","0","0","/en/players/1bb1dc1b/Ryoya-Morishita","Blackburn Rovers","1","3","22","18","1","43","","0","","80","16","1","1","4","1","22","7","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Blackburn Rovers","Queens Park Rangers","https://fbref.com/en/matches/4a0ac4c7/Blackburn-Rovers-Queens-Park-Rangers-November-26-2025-Championship","17","Ewood Park",NA,NA,NA,NA,NA,NA,NA,NA
"Moussa Baradji","24","fr FRA","AM","25-006","9","0","0","0","0","0","0","0","0","12","3","0","0","0.0","0.0","0.0","0","0","5","9","55.6","0","6","1","0","0","/en/players/db82a512/Moussa-Baradji","Blackburn Rovers","0","2","8","2","0","12","","0","","34","25","2","0","0","0","7","0","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Blackburn Rovers","Queens Park Rangers","https://fbref.com/en/matches/4a0ac4c7/Blackburn-Rovers-Queens-Park-Rangers-November-26-2025-Championship","17","Ewood Park",NA,NA,NA,NA,NA,NA,NA,NA
"Kristi Montgomery","31","sct SCO","CM","21-179","81","0","0","0","0","0","0","0","0","37","2","0","1","0.0","0.0","0.0","0","0","25","31","80.6","1","12","0","0","0","/en/players/8c1a7e94/Kristi-Montgomery","Blackburn Rovers","5","14","18","5","0","37","","0","","56","34","0","0","0","0","15","0","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Blackburn Rovers","Queens Park Rangers","https://fbref.com/en/matches/4a0ac4c7/Blackburn-Rovers-Queens-Park-Rangers-November-26-2025-Championship","17","Ewood Park",NA,NA,NA,NA,NA,NA,NA,NA
"Sidnei Tavares","8","","CM","24-058","9","0","0","0","0","0","0","0","0","5","0","0","0","0.0","0.0","0.0","0","0","4","5","80.0","0","1","0","0","0","/en/players/3add8ed8/Sidnei-Tavares","Blackburn Rovers","0","0","3","2","0","5","","0","","37","34","0","0","0","0","2","0","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Blackburn Rovers","Queens Park Rangers","https://fbref.com/en/matches/4a0ac4c7/Blackburn-Rovers-Queens-Park-Rangers-November-26-2025-Championship","17","Ewood Park",NA,NA,NA,NA,NA,NA,NA,NA
"Taylor Gardner-Hickman","5","eng ENG","CM","23-331","72","0","0","0","0","0","0","0","0","29","1","0","0","0.0","0.0","0.0","1","0","15","23","65.2","3","11","0","1","0","/en/players/f05ee68d/Taylor-Gardner-Hickman","Blackburn Rovers","1","2","19","9","0","29","0.0","1","100.0","30","2","0","0","2","1","11","2","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Blackburn Rovers","Queens Park Rangers","https://fbref.com/en/matches/4a0ac4c7/Blackburn-Rovers-Queens-Park-Rangers-November-26-2025-Championship","17","Ewood Park",NA,NA,NA,NA,NA,NA,NA,NA
"Adam Forshaw","28","eng ENG","CM","34-049","18","0","0","0","0","1","0","0","0","23","0","0","0","0.1","0.1","0.0","1","0","17","22","77.3","2","7","1","0","0","/en/players/9f1938ab/Adam-Forshaw","Blackburn Rovers","1","1","18","4","0","23","","0","","32","18","0","0","0","0","12","0","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Blackburn Rovers","Queens Park Rangers","https://fbref.com/en/matches/4a0ac4c7/Blackburn-Rovers-Queens-Park-Rangers-November-26-2025-Championship","17","Ewood Park",NA,NA,NA,NA,NA,NA,NA,NA
"Ryan Hedges","19","wls WAL","WB","30-141","72","0","0","0","0","2","0","1","0","39","1","1","1","0.2","0.2","0.3","1","0","15","32","46.9","2","16","3","0","0","/en/players/c54816a4/Ryan-Hedges","Blackburn Rovers","1","10","8","21","3","39","","0","","139","92","3","0","0","0","16","2","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Blackburn Rovers","Queens Park Rangers","https://fbref.com/en/matches/4a0ac4c7/Blackburn-Rovers-Queens-Park-Rangers-November-26-2025-Championship","17","Ewood Park",NA,NA,NA,NA,NA,NA,NA,NA
"Dion De Neve","14","be BEL","WB","23-167","18","0","0","0","0","0","0","0","0","10","0","0","2","0.0","0.0","0.0","0","0","3","7","42.9","0","6","0","0","0","/en/players/7d89f763/Dion-De-Neve","Blackburn Rovers","1","2","1","7","0","10","","0","","9","6","0","0","0","0","6","3","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Blackburn Rovers","Queens Park Rangers","https://fbref.com/en/matches/4a0ac4c7/Blackburn-Rovers-Queens-Park-Rangers-November-26-2025-Championship","17","Ewood Park",NA,NA,NA,NA,NA,NA,NA,NA
"Ryan Alebiosu","2","ng NGA","WB","23-344","90","0","0","0","0","0","0","0","0","43","0","3","2","0.0","0.0","0.1","4","0","25","32","78.1","8","17","2","0","0","/en/players/ce048fb8/Ryan-Alebiosu","Blackburn Rovers","3","14","18","12","0","43","","0","","117","52","1","0","2","0","23","5","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Blackburn Rovers","Queens Park Rangers","https://fbref.com/en/matches/4a0ac4c7/Blackburn-Rovers-Queens-Park-Rangers-November-26-2025-Championship","17","Ewood Park",NA,NA,NA,NA,NA,NA,NA,NA
"George Pratt","43","eng ENG","CB","22-070","90","0","0","0","0","0","0","0","0","65","0","1","0","0.0","0.0","0.0","0","0","37","58","63.8","3","28","0","0","0","/en/players/34eb88fe/George-Pratt","Blackburn Rovers","5","20","38","7","1","65","","0","","112","41","0","0","1","0","31","1","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Blackburn Rovers","Queens Park Rangers","https://fbref.com/en/matches/4a0ac4c7/Blackburn-Rovers-Queens-Park-Rangers-November-26-2025-Championship","17","Ewood Park",NA,NA,NA,NA,NA,NA,NA,NA
"Sean McLoughlin","15","ie IRL","CB","29-013","90","0","0","0","0","0","0","1","0","96","0","1","1","0.0","0.0","0.0","1","0","53","74","71.6","6","51","0","0","0","/en/players/315eb8f6/Sean-McLoughlin","Blackburn Rovers","19","45","45","6","4","96","","0","","320","120","1","0","0","0","55","1","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Blackburn Rovers","Queens Park Rangers","https://fbref.com/en/matches/4a0ac4c7/Blackburn-Rovers-Queens-Park-Rangers-November-26-2025-Championship","17","Ewood Park",NA,NA,NA,NA,NA,NA,NA,NA
"Lewis Miller","12","au AUS","CB","25-094","90","0","0","0","0","1","0","0","0","78","3","2","2","0.0","0.0","0.0","1","0","45","59","76.3","4","39","1","2","1","/en/players/3b7f84f4/Lewis-Miller","Blackburn Rovers","6","26","36","16","3","78","50.0","1","50.0","157","66","1","0","4","1","41","2","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Blackburn Rovers","Queens Park Rangers","https://fbref.com/en/matches/4a0ac4c7/Blackburn-Rovers-Queens-Park-Rangers-November-26-2025-Championship","17","Ewood Park",NA,NA,NA,NA,NA,NA,NA,NA
"Aynsley Pears","1","eng ENG","GK","27-217","90","0","0","0","0","0","0","0","0","32","0","0","0","0.0","0.0","0.0","0","0","18","28","64.3","0","11","0","0","0","/en/players/dfa084b2/Aynsley-Pears","Blackburn Rovers","24","31","1","0","0","32","","0","","49","31","0","0","0","0","12","0","Championship","2025-2026","Wednesday November 26, 2025, 19:45 (venue time)","Blackburn Rovers","Queens Park Rangers","https://fbref.com/en/matches/4a0ac4c7/Blackburn-Rovers-Queens-Park-Rangers-November-26-2025-Championship","17","Ewood Park",NA,NA,NA,NA,NA,NA,NA,NA
